# Openweave fashion brand tracker. See docs/data-sources/README.md for full provenance.
# transparency_score: Fashion Transparency Index 2023, (c) Fashion Revolution CIC, used with attribution.
# sbti_near_term_target: Science Based Targets initiative, (c) SBTi. fashion_pact: The Fashion Pact. certified_b_corp: B Lab.
# ownership: public corporate record. Independent, non-commercial tool; not affiliated with any brand named.
brand_name,parent_company,segment,country_or_region,user_recognition_level,ownership_provenance,fashion_pact,certified_b_corp,sbti_near_term_target,sustainability_report_url,annual_report_url,transparency_source,transparency_score,climate_target_summary,scope_1_2_disclosed,scope_3_disclosed,materials_notes,supply_chain_notes,circularity_notes,source_quality,needs_manual_research,notes
Anthropologie,URBN,Fast fashion,United States,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),13,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Aritzia,Aritzia,Fast fashion,Canada,medium,Needs research,Needs research,Needs research,validated (brand),,,Fashion Transparency Index 2023 (Fashion Revolution),22,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Armani,Giorgio Armani S.p.A.,Luxury,Italy,high,Needs research,signatory,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),38,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Asda,Asda (TDR Capital),Department & value,United Kingdom,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),28,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
ASICS,ASICS Corporation,Sportswear,Japan,medium,Needs research,Needs research,Needs research,validated (brand),https://corp.asics.com/en/csr,,Fashion Transparency Index 2023 (Fashion Revolution),45,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
ASOS,ASOS plc,Online retail,United Kingdom,high,Needs research,Needs research,Needs research,validated (brand),https://www.asosplc.com/fashion-with-integrity/,,Fashion Transparency Index 2023 (Fashion Revolution),50,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Balenciaga,Kering,Luxury,Spain,high,"Spanish-founded house, acquired by Kering in 2001.",signatory,Needs research,validated (parent group),https://www.kering.com/en/sustainability/,,Fashion Transparency Index 2023 (Fashion Revolution),51,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Bally,JAB Holding Company,Luxury,Switzerland,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),33,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Banana Republic,Gap Inc.,Basics & mass market,United States,high,Needs research,Needs research,Needs research,validated (parent group),,,Fashion Transparency Index 2023 (Fashion Revolution),48,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
BCBGMAXAZRIA,Marquee Brands,Fast fashion,United States,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),1,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Beanpole,Samsung C&T,Fast fashion,South Korea,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),7,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Belle,Belle International,Footwear,China,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),0,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Bershka,Inditex,Fast fashion,Spain,medium,Needs research,signatory,Needs research,validated (parent group),https://www.inditex.com/itxcomweb/en/sustainability,,Fashion Transparency Index 2023 (Fashion Revolution),50,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Big Bazaar – ffb,Future Group,Department & value,India,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),0,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Big W,Woolworths Group,Department & value,Australia,high,Needs research,Needs research,Needs research,validated (parent group),https://www.woolworthsgroup.com.au/au/en/sustainability.html,,Fashion Transparency Index 2023 (Fashion Revolution),39,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Billabong,Boardriders,Outdoor,Australia,high,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),6,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Bloomingdale's,"Macy’s, Inc.",Department & value,United States,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),7,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Bonds,Hanesbrands,Basics & mass market,Australia,high,"Australian icon founded 1915; owned by US-based Hanesbrands, which Gildan agreed to acquire in 2025.",Needs research,Needs research,validated (parent group),,,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,,yes,
Bonprix,Otto Group,Online retail,Germany,low,Needs research,Needs research,Needs research,validated (parent group),,,Fashion Transparency Index 2023 (Fashion Revolution),37,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Boohoo,Boohoo Group plc,Online retail,United Kingdom,medium,"UK group that also owns PrettyLittleThing, Nasty Gal and Debenhams.",Needs research,Needs research,Needs research,https://www.boohooplc.com/sustainability,,Fashion Transparency Index 2023 (Fashion Revolution),14,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Bosideng,Bosideng,Outdoor,China,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),0,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Bottega Veneta,Kering,Luxury,Italy,medium,"Italian house, acquired by Kering in 2001.",signatory,Needs research,validated (parent group),https://www.kering.com/en/sustainability/,,Fashion Transparency Index 2023 (Fashion Revolution),51,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Brooks Sports,Berkshire Hathaway,Sportswear,United States,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),36,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Brunello Cucinelli,Brunello Cucinelli,Luxury,Italy,medium,Needs research,Needs research,Needs research,validated (brand),,,Fashion Transparency Index 2023 (Fashion Revolution),14,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Buckle,"The Buckle, Inc.",Fast fashion,United States,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),4,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Burberry,Burberry Group plc,Luxury,United Kingdom,high,Needs research,signatory,Needs research,validated (brand),https://www.burberryplc.com/en/responsibility.html,,Fashion Transparency Index 2023 (Fashion Revolution),38,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Burlington,Burlington Stores,Department & value,United States,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),14,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
C&A,Cofra Holding,Fast fashion,Belgium,medium,Needs research,Needs research,Needs research,validated (brand),,,Fashion Transparency Index 2023 (Fashion Revolution),68,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Calvin Klein,PVH Corp.,Basics & mass market,United States,high,Owned by US group PVH Corp.,signatory,Needs research,validated (parent group),https://www.pvh.com/responsibility,,Fashion Transparency Index 2023 (Fashion Revolution),48,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Calzedonia,Calzedonia Group,Basics & mass market,Italy,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),63,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Camilla,Camilla (private),Luxury,Australia,medium,Needs research,Needs research,yes,Needs research,,,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,,yes,
Canada Goose,Canada Goose,Outdoor,Canada,high,Needs research,Needs research,Needs research,validated (brand),,,Fashion Transparency Index 2023 (Fashion Revolution),16,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Carhartt,Carhartt,Outdoor,United States,high,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),7,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Carolina Herrera,Puig,Luxury,United States,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),16,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
CAROLL,CAROLL,Fast fashion,France,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),5,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Carrefour,Carrefour,Department & value,France,high,Needs research,Needs research,Needs research,validated (brand),,,Fashion Transparency Index 2023 (Fashion Revolution),24,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Carter's,"Carter’s, Inc.",Basics & mass market,United States,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),25,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Celine,LVMH,Luxury,France,medium,"French house, owned by LVMH.",Needs research,Needs research,validated (parent group),https://www.lvmh.com/en/our-commitments/environment,,Fashion Transparency Index 2023 (Fashion Revolution),30,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
celio,celio,Fast fashion,France,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),1,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Champion,Hanesbrands,Sportswear,United States,high,A Hanesbrands label; Hanesbrands agreed to a Gildan takeover in 2025.,Needs research,Needs research,validated (parent group),,,Fashion Transparency Index 2023 (Fashion Revolution),38,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Chanel,Chanel Limited (private),Luxury,France,high,Needs research,signatory,Needs research,validated (brand),https://www.chanelmission1o5.com/,,Fashion Transparency Index 2023 (Fashion Revolution),11,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Chico's,Chico’s FAS,Fast fashion,United States,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),14,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Chloé,Richemont,Luxury,France,high,Needs research,Needs research,yes,validated (parent group),,,Fashion Transparency Index 2023 (Fashion Revolution),43,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Clarks,Clarks,Footwear,United Kingdom,high,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),17,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Coach,"Tapestry, Inc.",Luxury,United States,high,Part of US group Tapestry.,signatory,Needs research,validated (parent group),https://www.tapestry.com/responsibility/,,Fashion Transparency Index 2023 (Fashion Revolution),42,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Columbia Sportswear,Columbia Sportswear Company,Outdoor,United States,high,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),37,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Converse,"Nike, Inc.",Footwear,United States,high,Owned by Nike since 2003.,Needs research,Needs research,validated (parent group),,,Fashion Transparency Index 2023 (Fashion Revolution),50,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Cortefiel,Tendam,Fast fashion,Spain,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),21,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
COS,H&M Group,Fast fashion,Sweden,medium,Needs research,signatory,Needs research,validated (parent group),https://hmgroup.com/sustainability/,,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,,yes,
Costco,Costco,Department & value,United States,high,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),10,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Cotton On,Cotton On Group,Fast fashion,Australia,high,Needs research,Needs research,Needs research,Needs research,https://cottonon.com/AU/good-business/,,Fashion Transparency Index 2023 (Fashion Revolution),22,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Country Road,Country Road Group,Department & value,Australia,high,"Owned by Country Road Group, part of South Africa’s Woolworths Holdings, unrelated to Australian Woolworths.",Needs research,Needs research,validated (parent group),https://www.countryroad.com.au/sustainability,,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,,yes,
Decathlon,Decathlon,Sportswear,France,high,Needs research,Needs research,Needs research,validated (brand),,,Fashion Transparency Index 2023 (Fashion Revolution),26,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Deichmann,Deichmann,Footwear,Germany,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),2,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Desigual,Desigual,Fast fashion,Spain,medium,Needs research,Needs research,Needs research,validated (brand),,,Fashion Transparency Index 2023 (Fashion Revolution),25,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Dick's Sporting Goods,Dick’s Sporting Goods,Sportswear,United States,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),27,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Diesel,OTB Group,Denim,Italy,high,"Part of Italian group OTB, alongside Maison Margiela, Marni and Jil Sander.",Needs research,Needs research,validated (parent group),,,Fashion Transparency Index 2023 (Fashion Revolution),19,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Dillard's,Dillard’s,Department & value,United States,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),3,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Dior,LVMH,Luxury,France,high,"French house, brought under the LVMH umbrella; Christian Dior SE is the Arnault family holding.",Needs research,Needs research,validated (parent group),https://www.lvmh.com/en/our-commitments/environment,,Fashion Transparency Index 2023 (Fashion Revolution),29,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Disney,The Walt Disney Company,Department & value,United States,high,Needs research,Needs research,Needs research,validated (brand),,,Fashion Transparency Index 2023 (Fashion Revolution),22,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
DKNY,G-III Apparel Group,Fast fashion,United States,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),1,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Dolce & Gabbana,Dolce & Gabbana,Luxury,Italy,high,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),2,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Dr. Martens,Dr. Martens plc,Footwear,United Kingdom,high,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),35,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Dressmann,Varner,Basics & mass market,Norway,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),65,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
DSW,Designer Brands,Footwear,United States,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),7,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Eddie Bauer,Authentic Brands Group,Outdoor,United States,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),5,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
El Corte Inglés,El Corte Inglés,Department & value,Spain,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),24,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Ermenegildo Zegna,Ermenegildo Zegna Group,Luxury,Italy,medium,Needs research,signatory,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),33,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Esprit,Esprit,Fast fashion,Germany,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),45,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Express,"Express, Inc.",Fast fashion,United States,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),6,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Fabletics,TechStyle Fashion Group,Sportswear,United States,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),2,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Falabella,Falabella,Department & value,Chile,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),11,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Famous Footwear,Caleres,Footwear,United States,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),9,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Fanatics,Fanatics,Sportswear,United States,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),18,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Fashion Nova,Fashion Nova,Online retail,United States,high,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),0,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Fendi,LVMH,Luxury,Italy,medium,"Italian house, LVMH-controlled since 2001.",Needs research,Needs research,validated (parent group),https://www.lvmh.com/en/our-commitments/environment,,Fashion Transparency Index 2023 (Fashion Revolution),58,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Fila,Fila Holdings,Sportswear,South Korea,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),15,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
